id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
800000,14000.0,3,10.99,458.28,B,B3,7027.0,10+ years,0,80000.0,0,2014-07-01,0,163.0,21,10.56,1.0,715.0,719.0,17.0,0.0,0.0,9846.0,30.7,29.0,0,0,Nov-1974,0.0,1.0,1.0,4.0,6.0,6.0,6.0,8.0,4.0,15.0,19.0,6.0,17.0,0.0,0.0,1.0,3.0
800001,20000.0,5,14.65,472.14,C,C5,60426.0,10+ years,0,50000.0,0,2015-07-01,2,235.0,8,21.4,2.0,670.0,674.0,5.0,0.0,0.0,8946.0,56.6,14.0,0,0,Jul-2001,5.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,9.0,3.0,5.0,0.0,0.0,2.0,2.0
800002,12000.0,3,19.99,445.91,D,D4,23547.0,2 years,1,60000.0,2,2016-10-01,0,526.0,20,33.5,0.0,710.0,714.0,12.0,0.0,0.0,970.0,17.6,43.0,1,0,Aug-2006,0.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,36.0,5.0,6.0,4.0,12.0,0.0,0.0,0.0,7.0
800003,17500.0,5,14.31,410.02,C,C4,636.0,4 years,0,37000.0,1,2014-11-01,4,248.0,11,13.95,0.0,685.0,689.0,10.0,1.0,1.0,10249.0,52.3,18.0,0,0,Jul-2002,4.0,1.0,0.0,2.0,2.0,2.0,4.0,7.0,2.0,8.0,14.0,2.0,10.0,0.0,0.0,0.0,3.0
800004,35000.0,3,17.09,1249.42,D,D1,368446.0,< 1 year,1,80000.0,1,2017-10-01,0,115.0,8,24.97,0.0,685.0,689.0,19.0,0.0,0.0,33199.0,35.6,22.0,0,0,Dec-2000,0.0,1.0,0.0,8.0,11.0,11.0,9.0,11.0,3.0,16.0,18.0,11.0,19.0,0.0,0.0,0.0,1.0
800005,16000.0,3,5.32,481.84,A,A1,236.0,10+ years,0,90000.0,0,2017-05-01,0,480.0,8,15.28,0.0,775.0,779.0,17.0,0.0,0.0,6207.0,12.1,35.0,0,0,Jul-2000,0.0,1.0,0.0,3.0,5.0,5.0,8.0,14.0,6.0,13.0,25.0,5.0,17.0,0.0,0.0,0.0,3.0
800006,25000.0,5,14.99,594.62,C,C4,13.0,10+ years,1,126500.0,2,2016-11-01,0,310.0,24,22.94,0.0,720.0,724.0,14.0,0.0,0.0,31465.0,40.3,25.0,0,0,Jan-1998,0.0,1.0,0.0,5.0,7.0,7.0,6.0,6.0,6.0,10.0,17.0,7.0,14.0,0.0,0.0,0.0,1.0
800007,4500.0,3,7.35,139.67,A,A4,3403.0,6 years,0,50000.0,0,2017-10-01,4,81.0,15,13.32,0.0,750.0,754.0,8.0,0.0,0.0,5200.0,22.1,17.0,1,1,Feb-2007,4.0,1.0,0.0,3.0,3.0,3.0,4.0,6.0,8.0,4.0,8.0,3.0,8.0,0.0,0.0,0.0,1.0
800008,12000.0,5,16.55,295.34,D,D2,346.0,3 years,1,58000.0,1,2015-10-01,0,138.0,0,23.17,2.0,680.0,684.0,14.0,0.0,0.0,1382.0,18.2,29.0,0,0,May-2004,0.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,21.0,5.0,8.0,4.0,14.0,0.0,0.0,0.0,4.0
800009,16500.0,3,7.69,514.7,A,A4,8103.0,10+ years,0,140000.0,0,2014-08-01,4,76.0,26,13.93,0.0,715.0,719.0,10.0,0.0,0.0,16924.0,75.6,28.0,0,0,Sep-1992,4.0,1.0,2.0,2.0,4.0,4.0,2.0,7.0,10.0,4.0,13.0,4.0,10.0,0.0,0.0,0.0,3.0
